"LWPdate","gxDate","Pot","Species","Treat","Photo","Cond","Ci","Trmmol","VpdL","Tleaf","CO2S","TDR","Ladd","LWP.pd","LWP.md"
2012-11-09,2012-11-06,413,"cacu","wet",19.871872918,0.190144197,206.24687572,3.8301223788,2.0575755542,29.905825424,389.64004516,26,1,-0.11,-1.4
2012-11-09,2012-10-31,414,"eute","wet",18.44,0.3492,274.4,5.128,1.628,26.381451414,376.30308226,11,48,-0.005,-0.88
2012-11-09,2012-11-06,414,"eute","wet",13.038945646,0.1184137412,192.2931667,2.2078804566,1.902501221,29.38256302,383.6656311,22,1,-0.005,-0.88
2012-11-09,2012-11-06,470,"eusi","dry",1.9234765236,0.0144220406,173.49786544,0.3053813322,2.0868869106,29.195423508,397.49067992,3,1,-3.33,-4.09
2012-11-09,2012-10-31,470,"eusi","dry",15.76,0.3848,297.6,5.57,1.62,26.456275178,379.5104248,7,6,-3.33,-4.09
2012-11-09,2012-10-31,472,"eute","dry",20.3,0.437,282.6,5.898,1.536,26.310949706,374.63137208,7,6,-1.74,-2.68
2012-11-09,2012-11-06,472,"eute","dry",19.555498296,0.251371094,235.2929143,3.462491171,1.469223997,28.310451128,376.45111086,3,1,-1.74,-2.68
2012-11-09,2012-11-06,473,"cacu","dry",6.861816863,0.0511127324,167.50325336,1.1069986374,2.149060422,30.067063522,394.6921875,4,1,-2.36,-3.05
2012-11-09,2012-10-31,473,"cacu","dry",15.14,0.258,281.6,4.826,1.96,26.38061905,390.93443602,8,5,-2.36,-3.05
2012-11-09,2012-10-31,516,"cacu","wet",22.34,0.3524,267.8,6.85,2.06,28.612886046,387.30532836,22,1,-1.23,-1.24
2012-11-09,2012-11-06,516,"cacu","wet",20.813707492,0.3435053912,276.92921106,4.2675689936,1.3174230292,28.222711944,387.80950316,26,1,-1.23,-1.24
2012-11-09,2012-11-06,517,"pira","wet",21.330722288,0.3001829044,258.73592546,4.3721900888,1.5299762276,28.657911302,387.45494996,26,1,-0.03,-1.59
2012-11-09,2012-10-31,517,"pira","wet",21.48,0.2334,225,5.202,2.3,29.156729124,390.13792722,27,1,-0.03,-1.59
2012-11-09,2012-11-06,518,"eusi","wet",21.661983894,0.479572888,297.28247096,5.2604481372,1.2072629492,27.37391472,383.688739,21,1,-0.31,-1
2012-11-09,2012-10-31,518,"eusi","wet",28.04,0.547,281.6,8.49,1.72,27.996778488,381.95866696,25,1,-0.31,-1
2012-11-09,2012-10-31,519,"eute","wet",20,0.4438,284,5.856,1.5,27.650578308,373.69724122,23,1,-1.15,-1.67
2012-11-09,2012-11-06,519,"eute","wet",25.626222212,0.7210518998,293.16075474,5.6628596984,0.964112913,27.731669616,367.43961184,13,45,-1.15,-1.67
2012-11-09,2012-10-31,566,"eute","dry",22.64,0.3702,254.4,4.41,1.32,26.898982238,369.8142517,11,1,-2.25,-2.9
2012-11-09,2012-11-06,566,"eute","dry",14.127526192,0.1042630634,151.7732813,1.5524813638,1.5084409468,29.617664718,381.95166628,5,1,-2.25,-2.9
2012-11-09,2012-10-31,567,"pira","dry",19.74,0.206,217.6,3.902,1.954,28.205805588,387.03786012,11,1,-0.8,-1.6
2012-11-09,2012-11-06,567,"pira","dry",13.320917524,0.098038694,161.4967954,1.5806536206,1.61382518,29.594924928,391.29369506,7,1,-0.8,-1.6
2012-11-09,2012-11-06,568,"eusi","dry",9.1358857456,0.079193848,198.05263404,1.2875291496,1.6212638896,29.694843674,393.6553894,3,1,-2.01,-3.08
2012-11-09,2012-10-31,568,"eusi","dry",18.3,0.2002,218.2,3.77,1.96,28.364032364,381.2780884,11,1,-2.01,-3.08
2012-11-09,2012-11-06,569,"cacu","dry",7.143141061,0.0645318424,206.060734,1.0193216086,1.57112686,29.494906234,393.49768676,3,1,-0.97,-2.18
2012-11-09,2012-10-31,569,"cacu","dry",15.56,0.2336,268,4,1.78,27.86626129,389.06204834,13,1,-0.97,-2.18
2012-11-09,2012-11-06,616,"eute","wet",18.977910658,0.3770262909,279.09096254,4.6204960453,1.3615467532,28.397409059,376.09016722,22,1,-1.44,-1.17
2012-11-09,2012-10-31,616,"eute","wet",21.78,0.2396,205.4,4.752,2.112,30.393235398,371.72858276,17,30,-1.44,-1.17
2012-11-09,2012-10-31,617,"eusi","wet",16.2,0.26275,264.5,4.4075,1.785,28.7074689875,379.649055475,14,42,-0.1,-1.16
2012-11-09,2012-11-06,617,"eusi","wet",18.45341569,0.3997555296,294.78593232,4.6489567532,1.2721870386,27.078510666,382.7918823,18,8,-0.1,-1.16
2012-11-09,2012-10-31,618,"cacu","wet",13.38,0.2396,282.2,3.952,1.738,27.943856048,386.65285644,17,30,-0.05,-1.17
2012-11-09,2012-11-06,618,"cacu","wet",20.368262046,0.3103637496,265.8260901,3.9798882504,1.3586035704,27.180506132,385.04349366,18,8,-0.05,-1.17
2012-11-09,2012-11-06,619,"pira","wet",17.473536502,0.405821138,305.3692027,5.3326565184,1.4152449984,27.586933134,387.91761474,23,1,-0.31,-1.23
2012-11-09,2012-10-31,619,"pira","wet",13.92,0.163,233.4,3.316,2.088,29.463082122,385.83742064,16,37,-0.31,-1.23
2012-11-09,2012-11-06,662,"eute","dry",7.2773453874,0.0390163932,77.49859621,1.1086461228,2.816430316,32.85653534,391.36660766,5,1,-1.68,-2.45
2012-11-09,2012-10-31,662,"eute","dry",15.66,0.1504,198.6,2.49,1.72,27.291241838,380.97790526,10,1,-1.68,-2.45
2012-11-09,2012-11-06,663,"eusi","dry",3.1057890462,0.0230126848,170.2683226,0.4985480042,2.133716142,30.143718336,397.51733396,6,1,-2.2,-3.22
2012-11-09,2012-10-31,663,"eusi","dry",21.86,0.4576,279.8,4.688,1.17,25.49701271,373.01384888,13,1,-2.2,-3.22
2012-11-09,2012-10-31,664,"pira","dry",11.88,0.1016,185.4,1.726,1.734,26.213101578,385.46019286,11,1,-0.89,-1.65
2012-11-09,2012-11-06,664,"pira","dry",5.4571150722,0.0331116154,121.38816582,0.7598603672,2.2592223328,30.815396498,396.5558899,5,1,-0.89,-1.65
2012-11-09,2012-10-31,665,"cacu","dry",10.98,0.118,228.2,2.234,1.926,27.442679214,390.58910522,9,1,-1.9,-2.83
2012-11-09,2012-11-06,665,"cacu","dry",8.7091535116,0.0695753476,181.65299626,1.5236179112,2.175060307,30.61727066,395.06938476,6,1,-1.9,-2.83
2012-11-20,2012-11-20,124,"eusi","wet",11.855726164,0.269461464,300.56609416,3.5427170834,1.4301200222,25.343366242,384.47224122,33,1,-0.17,-1.44
2012-11-20,2012-11-20,125,"eute","wet",14.179196472,0.1858442604,245.0298433,2.6906913316,1.5336363266,25.227085494,381.60877682,29,1,-0.125,-0.85
2012-11-20,2012-11-20,126,"pira","wet",19.737869346,0.2256600538,234.94789056,3.9193560362,1.8132900726,26.358049392,390.07586062,31,1,-0.442,-0.73
2012-11-20,2012-11-20,127,"cacu","wet",13.203016294,0.19743968,272.41038478,3.3366017212,1.7547691892,26.098326874,392.87886354,31,1,-0.4,-1.37
2012-11-20,2012-11-20,174,"eute","dry",16.930024424,0.2988238874,272.42241622,3.6607757598,1.3469695356,24.43927231,378.18901368,17,8,-0.51,-1.05
2012-11-20,2012-11-20,175,"cacu","dry",16.439099368,0.2788725516,284.56082738,4.2991845588,1.6260647472,25.370629502,392.5628845,22,1,-0.44,-1.1
2012-11-20,2012-11-20,176,"pira","dry",18.64929262,0.2059013806,231.40658404,3.0885643878,1.561658497,25.20389366,389.91881712,25,1,-0.8,-0.95
2012-11-20,2012-11-20,177,"eusi","dry",17.824998916,0.3481332644,279.82304676,3.9949489288,1.2815912188,24.259437178,377.00718994,20,1,-0.25,-0.74
2012-11-20,2012-11-20,216,"eusi","wet",14.21136933,0.2905481804,298.93880506,4.2796886852,1.5687168958,24.583590316,390.48831178,20,1,-0.166,-0.993
2012-11-20,2012-11-20,217,"pira","wet",14.447139442,0.201196146,262.27144778,3.0812252996,1.6005464786,23.952521896,390.2660095,32,1,-0.36,-0.82
2012-11-20,2012-11-20,218,"cacu","wet",15.824709896,0.2220347354,263.7729617,3.499206216,1.6503447688,24.228223802,391.44714354,32,1,-0.58,-0.8205
2012-11-20,2012-11-20,219,"eute","wet",15.28074892,0.3043073342,284.4245706,4.1395610642,1.4965762542,25.324141694,380.04158324,29,1,-0.129,-1.05
2012-11-20,2012-11-20,254,"cacu","dry",17.421721584,0.2261932782,253.4180018,3.5043703076,1.623714362,24.03251114,390.44248656,24,1,-0.264,-1
2012-11-20,2012-11-20,255,"eute","dry",16.921867096,0.2536431008,255.93812752,3.3991671538,1.4528317256,24.39529419,378.1802368,20,1,-0.25,-0.745
2012-11-20,2012-11-20,256,"pira","dry",17.09251976,0.2161650124,244.47046792,3.2729504344,1.5955300828,24.355463028,385.30010378,22,1,-0.395,-0.89
2012-11-20,2012-11-20,257,"eusi","dry",29.773975496,0.5921549568,283.78705382,6.734065542,1.2934895224,23.59139557,380.83162232,24,1,-0.18,-1.12
2012-11-20,2012-11-20,304,"eusi","wet",13.221524546,0.2072676454,267.98739224,2.2565395022,1.153433784,26.651865388,382.45303956,29.0625,1,-0.141,-0.87
2012-11-20,2012-11-20,305,"cacu","wet",16.570279257,0.2928143345,285.66299256,3.0415934503,1.10571979,24.794925309,387.91738892,28.5714285714286,1,-0.29,-0.95
2012-11-20,2012-11-20,306,"eute","wet",23.546983054,0.4292135876,265.58246924,3.9186244074,1.0396286192,25.439677428,369.96149902,29.7333333333333,1,-0.25,-0.874
2012-11-20,2012-11-20,307,"pira","wet",20.970124222,0.2860771978,255.08090472,3.3061373096,1.2196574022,26.834820176,385.53826294,29.0588235294118,4.41176470588235,-0.27,-0.97
2012-11-20,2012-11-20,358,"cacu","dry",23.821743896,0.422481063,282.03800024,4.1137502846,1.0599595506,26.09589882,385.76013184,16.1875,19.9375,-0.21,-1.04
2012-11-20,2012-11-20,359,"pira","dry",14.885045722,0.1656772718,232.62668584,1.9441697546,1.2116343476,26.286970138,387.90827026,19.5714285714286,13.1428571428571,-0.29,-0.58
2012-11-20,2012-11-20,360,"eusi","dry",13.834603176,0.2038415924,260.64497042,3.042396089,1.5819890538,25.516518782,383.56718138,17.6153846153846,16.2307692307692,-0.11,-0.824
2012-11-20,2012-11-20,361,"eute","dry",18.52327713,0.3864261258,286.12423266,3.5688302486,1.0361154516,26.253351594,377.2276062,16.75,20.5625,-0.185,-1.12
2012-11-20,2012-11-20,412,"eusi","wet",26.106100582,0.5133213486,278.66499082,6.2528842986,1.3785926968,24.399414826,376.79829714,29.0625,1,-0.28,-1.03
2012-11-20,2012-11-20,413,"cacu","wet",19.905995842,0.2422366032,234.53845288,3.6017850364,1.5818933536,24.603045272,381.57814942,28.5714285714286,1,-0.277,-0.821
2012-11-20,2012-11-20,414,"eute","wet",13.367746234,0.1157610722,183.8404169,1.9407907762,1.7366578794,24.86451645,382.92269288,29.7333333333333,1,-0.101,-0.78
2012-11-20,2012-11-20,415,"pira","wet",25.311905416,0.3149941368,238.31455992,5.0466680098,1.7148702862,25.095612716,383.72235718,29.0588235294118,4.41176470588235,-0.36,-1
2012-11-20,2012-11-20,470,"eusi","dry",17.641458302,0.277793945,260.45819458,3.9079082376,1.531762574,24.907008744,378.09226072,17.6153846153846,16.2307692307692,-0.211,-1.14
2012-11-20,2012-11-20,472,"eute","dry",18.475969448,0.2720724648,250.84732876,3.9566912774,1.582377363,25.770729068,376.31051026,16.75,20.5625,-0.23,-1.17
2012-11-20,2012-11-20,473,"cacu","dry",17.447725766,0.2622039056,260.0096439,3.7605551014,1.5411146884,24.63328781,381.63341676,16.1875,19.9375,-0.25,-0.515
2012-11-20,2012-11-20,516,"cacu","wet",18.512851062,0.308580141,273.90533424,4.1161326886,1.436564937,24.94610672,384.23843992,28.5714285714286,1,-0.23,-0.971
2012-11-20,2012-11-20,517,"pira","wet",9.016510543,0.1646272426,289.06562056,2.3368826298,1.4935569968,25.042136002,389.12990114,29.0588235294118,4.41176470588235,-0.265,-0.737
2012-11-20,2012-11-20,518,"eusi","wet",13.958807664,0.2389428538,275.0414868,3.1656221938,1.4274081576,25.23879509,382.71948852,29.0625,1,-0.4,-1.295
